,Player Name,Age,Team,League,Season,Position,player_id,Score Type,Stoke Score,xG (ST),Non-Penalty Goals (ST),Shots (ST),OBV Shot (ST),Open Play xA (ST),OBV Dribble & Carry (ST),PAdj Pressures (ST),Aerial Wins (ST),Aerial Win % (ST),Average Distance Percentile,Top 5 PSV-99 Percentile,L/R Footedness %,Player Season Minutes,Touches in Box (ST),Running Distance Percentile,Sprinting Distance Percentile,Count HSR Percentile,Count Sprint Percentile,Count Medium Acceleration Percentile,Count High Acceleration Percentile,xG (W),Non-Penalty Goals (W),Shots (W),Open Play xA (W),OBV Pass (W),Successful Dribbles (W),OBV Dribble & Carry (W),player_season_padj_pressures_90 Percentile,Distance (W),Top 5 PSV (W),xG (CAM),Non-Penalty Goals (CAM),Shots (CAM),OBV Pass (CAM),Open Play xA (CAM),Key Passes (CAM),Throughballs (CAM),Successful Dribbles (CAM),OBV Dribble & Carry (CAM),Average Distance (CAM),Top 5 PSV (CAM),xG (8),Non-Penalty Goals (8),OBV Pass (8),Open Play xA (8),Successful Dribbles (8),OBV Dribble & Carry (8),Average Distance (8),Top 5 PSV-99 (8),PAdj Tackles & Interceptions (8),Deep Progressions (8),Average Distance (6),Top 5 PSV-99 (6),OBV Defensive Action (6),OBV Pass (6),Deep Progressions (6),Successful Dribbles (6),OBV Dribble & Carry (6),Tackle/Dribbled Past % (6),PAdj Tackles (6),PAdj Interceptions (6),PAdj Tackles & Interceptions (6),Pass Forward % (6),Turnovers (6),PAdj Pressures (6),Pressure Regains (6),Ball Recoveries (6),Average Distance (LB),Top 5 PSV-99 (LB),PAdj Tackles (LB),PAdj Interceptions (LB),OBV Defensive Action (LB),OBV Dribble & Carry (LB),Tackle/Dribbled Past (LB),Open Play xA (LB),Successful Crosses (LB),Dribbled Past (LB),Successful Dribbles (LB),Key Passes (LB),OBV Pass (LB),PAdj Tackles & Interceptions (LB),Aerial Win % (LB),Average Distance (RB),Top 5 PSV-99 (RB),PAdj Tackles (RB),PAdj Interceptions (RB),OBV Defensive Action (RB),OBV Dribble & Carry (RB),Tackle/Dribbled Past (RB),Open Play xA (RB),Successful Crosses (RB),Dribbled Past (RB),Successful Dribbles (RB),Key Passes (RB),OBV Pass (RB),PAdj Tackles & Interceptions (RB),Aerial Win % (RB),Average Distance (CB),Top 5 PSV-99 (CB),Aerial Win % (CB),Aerial Wins (CB),PAdj Interceptions (CB),PAdj Tackles (CB),OBV Pass (CB),OBV Dribble & Carry (CB),OBV Defensive Action (CB),Dribbled Past (CB),Deep Progressions (CB),PAdj Tackles & Interceptions (CB),Tackle / Dribbled Past % (CB),Blocks per Shot (CB),Pressure Change in Passing % (CB),xG (S9),Non-Penalty Goals (S9),Shots (S9),OBV Shot (S9),Open Play xA (S9),OBV Dribble & Carry (S9),PAdj Pressures (S9),Aerial Wins (S9),Aerial Win % (S9),Average Distance (S9),Top 5 PSV-99 (S9),Runs in Behind (S9),Threat of Runs in Behind (S9),xG (DW),Non-Penalty Goals (DW),Shots (DW),Open Play xA (DW),OBV Pass (DW),Successful Dribbles (DW),OBV Dribble & Carry (DW),Average Distance (DW),Top 5 PSV (DW),xG (CW),Non-Penalty Goals (CW),Shots (CW),Open Play xA (CW),OBV Pass (CW),Successful Dribbles (CW),OBV Dribble & Carry (CW),Average Distance (CW),Top 5 PSV (CW),xG (WF),Non-Penalty Goals (WF),Shots (WF),Open Play xA (WF),OBV Pass (WF),Successful Dribbles (WF),OBV Dribble & Carry (WF),Average Distance (WF),Top 5 PSV (WF),xG (C10),Non-Penalty Goals (C10),Shots (C10),OBV Pass (C10),Open Play xA (C10),Key Passes (C10),Successful Dribbles (C10),OBV Dribble & Carry (C10),Average Distance (C10),Top 5 PSV (C10),xG (R10),Non-Penalty Goals (R10),Shots (R10),Open Play xA (R10),OBV Pass (R10),Successful Dribbles (R10),OBV Dribble & Carry (R10),PAdj Pressures (R10),Pressure Regains (R10),HI Distance (R10),Average Distance (R10),Top 5 PSV (R10),PAdj Pressures (P8),Average Distance (P8),xG (P8),OBV Pass (P8),Successful Dribbles (P8),Open Play xA (P8),Top 5 PSV (P8),OBV Dribble & Carry (P8),Deep Progressions (P8),Average Distance (R8),xG (R8),OBV Pass (R8),Non-Penalty Goals (R8),Open Play xA (R8),Top 5 PSV (R8),OBV Dribble & Carry (R8),Deep Progressions (R8),PAdj Pressures (R8),Pressure Regains (R8),Average Distance (P6),Top 5 PSV-99 (P6),OBV Defensive Action (P6),Deep Progressions (P6),OBV Dribble & Carry (P6),PAdj Tackles & Interceptions (P6),OBV Pass (P6),Forward Pass % (P6),Average Distance (D6),Top 5 PSV-99 (D6),PAdj Pressures (D6),OBV Defensive Action (D6),Passing % (D6),Tackle / Dribbled Past % (D6),PAdj Tackles & Interceptions (D6),Ball Recoveries (D6),Open Play xA (DLB),PAdj Tackles (DLB),PAdj Interceptions (DLB),OBV Dribble & Carry (DLB),OBV Defensive Action (DLB),Tackle / Dribbled Past % (DLB),Average Distance (DLB),PAdj Pressures (DLB),Dribbled Past (DLB),Top 5 PSV-99 (DLB),Aerial Win % (DLB),Open Play xA (DRB),PAdj Tackles (DRB),PAdj Interceptions (DRB),OBV Dribble & Carry (DRB),OBV Defensive Action (DRB),Tackle / Dribbled Past % (DRB),Average Distance (DRB),PAdj Pressures (DRB),Dribbled Past (DRB),Top 5 PSV-99 (DRB),Aerial Win % (DRB),Average Distance (BCB),Top 5 PSV-99 (BCB),Aerial Wins (BCB),PAdj Interceptions (BCB),PAdj Tackles (BCB),OBV Pass (BCB),OBV Dribble & Carry (BCB),OBV Defensive Action (BCB),player_season_xgbuildup_90 Percentile,Deep Progressions (BCB),Pressured Change in Passing % (BCB),Average Distance (DCB),Top 5 PSV-99 (DCB),Aerial Wins (DCB),Aerial Win % (DCB),OBV Defensive Action (DCB),Tackle / Dribbled Past % (DCB),Blocks Per Shot (DCB),Market value,Market value (millions),player_name,name_in_home_country,place_of_birth,height,citizenship,position,foot,player_agent,current_club,joined,Contract expires,instagram,player_valuation,max_player_valuation,max_player_valuation_date,URL,date_of_birth,last_contract_extension,twitter,contract_option,na,full_name,outfitter,on_loan_from,contract_there_expires,website,x2nd_club,facebook
188,Stephen Quemper,31,AC Ajaccio,Ligue 2,2024/2025,Left Back,45699,Left Back,35.13,,,,,,,,,,,,89.93,354.0,,75.0,49.0,59.0,58.0,4.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,14.0,86.0,8.0,37.0,52.0,29.0,77.0,94.0,12.0,67.0,89.0,68.0,59.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stephen Bolma,,,,Ghana,Midfield - Central Midfield,,UKSPORTMANAGEMENT.CO...,IFK Norrköping,2023-02-01,0,,,,,https://www.transfermarkt.com/stephen-bolma/profil/spieler/1126890,2004-12-09,,,,,,,,,,,
189,Baïla Diallo,23,Clermont Foot,Ligue 2,2024/2025,Left Back,111032,Left Back,32.32,,,,,,,,,,,,83.33,527.0,,28.0,68.0,11.0,70.0,6.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,63.0,10.0,42.0,26.0,40.0,17.0,86.0,28.0,72.0,27.0,27.0,8.0,17.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
190,Thibault Delphis,22,FC Annecy,Ligue 2,2024/2025,Left Back,404679,Left Back,31.75,,,,,,,,,,,,20.0,559.0,,97.0,54.0,97.0,67.0,34.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,9.0,2.0,41.0,95.0,3.0,46.0,2.0,4.0,88.0,25.0,2.0,75.0,6.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
191,Fali Candé,26,Metz,Ligue 2,2024/2025,Left Back,41052,Left Back,31.15,,,,,,,,,,,,90.66,399.0,,44.0,25.0,3.0,18.0,11.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,16.0,55.0,77.0,46.0,31.0,88.0,26.0,38.0,94.0,91.0,21.0,23.0,68.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
192,Lenny Vallier,25,Guingamp,Ligue 2,2024/2025,Left Back,22302,Left Back,30.45,,,,,,,,,,,,87.6,334.0,,77.0,51.0,49.0,31.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,39.0,23.0,77.0,42.0,72.0,99.0,7.0,4.0,98.0,90.0,8.0,6.0,48.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
193,Fabrice N'Sakala,34,FC Annecy,Ligue 2,2024/2025,Left Back,30280,Left Back,27.56,,,,,,,,,,,,85.19,361.0,,70.0,8.0,48.0,14.0,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,2.0,56.0,69.0,90.0,6.0,38.0,2.0,4.0,4.0,42.0,2.0,43.0,64.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000.0,0.35,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
194,Zakaria Ariss,20,Bastia,Ligue 2,2024/2025,Left Back,224512,Left Back,27.31,,,,,,,,,,,,82.98,626.0,,30.0,45.0,15.0,42.0,3.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,40.0,59.0,89.0,79.0,27.0,9.0,5.0,24.0,5.0,53.0,5.0,30.0,80.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
195,Isaac James Ogiri,21,Lorient,Ligue 2,2024/2025,Left Back,440420,Left Back,24.24,,,,,,,,,,,,92.59,174.0,,100.0,94.0,81.0,93.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,28.0,93.0,95.0,24.0,77.0,17.0,15.0,46.0,5.0,80.0,81.0,4.0,96.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isaac Kiese Thelin,,Örebro,1.89,Sweden DR Congo,Attack - Centre-Forward,right,Wesport Football,Malmö FF,2022-03-16,2025,http://www.instagram.com/ikiesethelin/,,,,https://www.transfermarkt.com/isaac-kiese-thelin/profil/spieler/201311,1992-06-24,,http://twitter.com/IKieseThelin,,,,Nike,,,,,
196,Paolo Gozzi Iweru,23,Troyes,Ligue 2,2024/2025,Left Back,24831,Left Back,23.85,,,,,,,,,,,,77.27,209.0,,11.0,45.0,6.0,50.0,9.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,43.0,0.0,0.0,15.0,7.0,29.0,91.0,36.0,79.0,4.0,19.0,23.0,0.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
197,Abner Felipe Souza de Almeida,28,Dunkerque,Ligue 2,2024/2025,Left Back,29642,Left Back,21.59,,,,,,,,,,,,93.81,625.0,,39.0,72.0,62.0,62.0,12.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,43.0,5.0,59.0,39.0,9.0,9.0,2.0,54.0,64.0,63.0,2.0,47.0,18.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900000.0,0.9,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
198,Shaquil Delos,25,Grenoble Foot,Ligue 2,2024/2025,Left Back,33193,Left Back,16.34,,,,,,,,,,,,36.67,164.0,,81.0,22.0,36.0,37.0,43.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,5.0,85.0,11.0,99.0,28.0,46.0,2.0,4.0,18.0,82.0,2.0,1.0,58.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
199,Yoël Armougom,26,Clermont Foot,Ligue 2,2024/2025,Left Back,4801,Left Back,10.91,,,,,,,,,,,,95.12,234.0,,40.0,62.0,37.0,78.0,41.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,8.0,9.0,62.0,40.0,64.0,2.0,11.0,4.0,15.0,68.0,57.0,26.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,André Al-Sanati,André Alan Al-Sanati,,1.65,Iraq Sweden,Attack - Right Winger,left,Henok Berhane,IK Sirius,2023-02-01,2027,http://www.instagram.com/andrealsanati/?hl=en,,,,https://www.transfermarkt.com/andre-al-sanati/profil/spieler/431748,2000-01-06,,,,,,,,,,,
201,Nelson Sissoko,27,Guingamp,Ligue 2,2024/2025,Right Back,7608,Right Back,67.56,,,,,,,,,,,,11.24,772.0,,18.0,63.0,17.0,41.0,16.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,78.0,11.0,96.0,77.0,34.0,93.0,94.0,99.0,98.0,58.0,97.0,98.0,70.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
202,Cheick Oumar Konaté,20,Clermont Foot,Ligue 2,2024/2025,Right Back,374052,Right Back,58.79,,,,,,,,,,,,18.05,682.0,,77.0,49.0,57.0,31.0,4.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,13.0,64.0,95.0,46.0,99.0,93.0,26.0,24.0,93.0,92.0,9.0,24.0,89.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
203,Mathys Tourraine,23,Paris FC,Ligue 2,2024/2025,Right Back,373437,Right Back,55.9,,,,,,,,,,,,6.18,777.0,,62.0,85.0,64.0,71.0,11.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,46.0,99.0,97.0,65.0,52.0,25.0,67.0,90.0,8.0,80.0,67.0,85.0,98.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
204,Bendjaloud Salmata Youssouf,30,Dunkerque,Ligue 2,2024/2025,Right Back,7490,Right Back,55.61,,,,,,,,,,,,12.79,250.0,,78.0,100.0,97.0,97.0,12.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,34.0,87.0,92.0,93.0,42.0,95.0,90.0,75.0,89.0,36.0,98.0,80.0,92.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
205,Tony Strata,20,AC Ajaccio,Ligue 2,2024/2025,Right Back,245383,Right Back,53.98,,,,,,,,,,,,11.11,472.0,,22.0,20.0,22.0,64.0,1.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,18.0,72.0,94.0,65.0,100.0,87.0,30.0,37.0,87.0,4.0,79.0,81.0,90.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
206,Mohamed Bouchouari,23,Rodez,Ligue 2,2024/2025,Right Wing Back,31844,Right Back,52.18,,,,,,,,,,,,30.63,530.0,,100.0,99.0,95.0,91.0,24.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,30.0,37.0,45.0,35.0,32.0,42.0,85.0,92.0,20.0,15.0,70.0,96.0,40.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Bawa,,,,Sweden,Midfield,,,GAIS,2024-02-01,0,,,,,https://www.transfermarkt.com/mohamed-bawa/profil/spieler/1220226,2004-07-20,,,,,,,,,,,
207,Igor Silva de Almeida,28,Lorient,Ligue 2,2024/2025,Right Back,16620,Right Back,50.15,,,,,,,,,,,,7.14,485.0,,10.0,14.0,6.0,16.0,3.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,100.0,100.0,74.0,98.0,82.0,37.0,15.0,37.0,4.0,40.0,34.0,100.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
208,Gedeon Kalulu Kyatengwa,27,Lorient,Ligue 2,2024/2025,Right Back,30193,Right Back,50.08,,,,,,,,,,,,7.46,307.0,,1.0,1.0,1.0,8.0,0.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,37.0,69.0,81.0,96.0,88.0,71.0,86.0,91.0,58.0,90.0,100.0,56.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
209,Alec Georgen,26,Dunkerque,Ligue 2,2024/2025,Right Back,45086,Right Back,49.21,,,,,,,,,,,,20.7,744.0,,87.0,92.0,88.0,95.0,20.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,39.0,84.0,96.0,76.0,15.0,82.0,11.0,19.0,69.0,37.0,7.0,67.0,94.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
210,Koffi Franck Kouao,26,Metz,Ligue 2,2024/2025,Right Wing Back,131901,Right Back,48.03,,,,,,,,,,,,22.95,682.0,,53.0,68.0,31.0,76.0,9.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,73.0,45.0,59.0,45.0,88.0,37.0,76.0,71.0,60.0,73.0,35.0,60.0,53.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
211,Julien Kouadio,25,FC Annecy,Ligue 2,2024/2025,Right Back,134976,Right Back,47.74,,,,,,,,,,,,20.51,368.0,,95.0,78.0,90.0,81.0,56.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,12.0,2.0,58.0,95.0,6.0,29.0,95.0,52.0,54.0,4.0,31.0,97.0,14.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
212,Hugo Vandermersch,25,Caen,Ligue 2,2024/2025,Right Back,30684,Right Back,47.42,,,,,,,,,,,,3.68,297.0,,81.0,64.0,81.0,74.0,5.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,9.0,89.0,0.0,49.0,81.0,100.0,81.0,99.0,99.0,28.0,98.0,79.0,44.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,1.5,Hugo Bolin,,Borås,1.79,Sweden,Midfield - Central Midfield,,HCM Sports ...,Malmö FF,2022-01-08,2026,,,,,https://www.transfermarkt.com/hugo-bolin/profil/spieler/667251,2003-07-24,,,,,,,,,,,
215,Florian Bohnert,26,Bastia,Ligue 2,2024/2025,Right Back,46782,Right Back,46.27,,,,,,,,,,,,8.9,702.0,,78.0,62.0,57.0,55.0,3.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,29.0,57.0,72.0,40.0,21.0,64.0,32.0,23.0,64.0,22.0,50.0,56.0,67.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
