Player Name,Age,Team,League,Position,Score Type,Stoke Score,Average Distance (6),Top 5 PSV-99 (6),OBV Defensive Action (6),OBV Pass (6),Deep Progressions (6),Dribbles (6),OBV Dribble & Carry (6),Tackle/Dribbled Past % (6),PAdj Tackles (6),PAdj Interceptions (6)
Emmanouil Siopis,29,Cardiff City,Championship,Centre Defensive Midfielder,Defensive Midfield,35.0,53,65,0.032468375,14,2.531148,82,40,17,43,46
Okay Yokuşlu,29,West Bromwich Albion,Championship,Right Defensive Midfielder,Defensive Midfield,34.89,62,74,0.06296578,4,3.8643062,78,83,39,61,82
Charlie Patino,20,Swansea City,Championship,Right Defensive Midfielder,Defensive Midfield,34.8,97,11,0.04124869,75,4.432844,81,42,35,54,75
Lewis O'Brien,25,Middlesbrough,Championship,Left Back,Defensive Midfield,34.73,93,86,0.05507754,97,4.6683044,57,94,3,67,96
Daniel Barlaser,26,Middlesbrough,Championship,Right Defensive Midfielder,Defensive Midfield,34.33,94,39,0.023577115,96,6.6270175,22,88,1,6,83
Lewis Travis,26,Blackburn Rovers,Championship,Right Defensive Midfielder,Defensive Midfield,34.32,46,75,0.06180993,58,4.143249,53,56,20,71,60
Matty James,32,Bristol City,Championship,Centre Defensive Midfielder,Defensive Midfield,34.29,40,72,0.033369824,33,2.2992363,29,57,14,46,42
Allan Campbell,25,Millwall,Championship,Right Defensive Midfielder,Defensive Midfield,33.94,88,3,0.10347219,6,1.4030021,74,65,44,51,44
Daniel Neil,21,Sunderland,Championship,Centre Defensive Midfielder,Defensive Midfield,33.69,14,41,0.030081801,11,7.3322687,94,89,44,64,29
Sam Field,25,Queens Park Rangers,Championship,Left Defensive Midfielder,Defensive Midfield,32.9,51,28,0.05390372,12,2.370286,6,6,74,15,58
Billy Mitchell,22,Millwall,Championship,Right Defensive Midfielder,Defensive Midfield,32.83,50,35,0.024766313,17,3.3934357,88,61,44,18,67
Glen Kamara,28,Leeds United,Championship,Left Defensive Midfielder,Defensive Midfield,32.73,7,51,0.01878797,43,6.236016,51,46,93,72,93
Alan James Browne,28,Preston North End,Championship,Right Defensive Midfielder,Defensive Midfield,32.48,68,81,0.0077594593,19,3.5515163,89,54,60,36,7
Andre Leon Dozzell,24,Queens Park Rangers,Championship,Right Defensive Midfielder,Defensive Midfield,32.46,21,6,0.023264501,62,2.5479712,31,36,74,12,28
Will Vaulks,30,Sheffield Wednesday,Championship,Left Defensive Midfielder,Defensive Midfield,31.99,35,25,-0.12206449,94,3.7947998,33,10,55,19,8
Harry Winks,27,Leicester City,Championship,Centre Defensive Midfielder,Defensive Midfield,31.76,12,99,0.043901715,44,6.6152387,56,76,51,57,40
Jack Colback,34,Queens Park Rangers,Championship,Right Defensive Midfielder,Defensive Midfield,31.0,29,65,0.10683138,47,1.6696726,44,22,76,32,18
Jobe Bellingham,18,Sunderland,Championship,Centre Forward,Defensive Midfield,30.66,22,92,0.07023509,1,3.2110996,90,24,94,76,50
Shea Charles,19,Southampton,Championship,Centre Defensive Midfielder,Defensive Midfield,30.18,72,65,0.088818386,10,6.601467,36,31,44,74,97
Benjamin Whiteman,27,Preston North End,Championship,Right Defensive Midfielder,Defensive Midfield,30.05,11,41,0.08663869,68,3.0125964,6,49,62,4,36
Nathaniel Chalobah,28,West Bromwich Albion,Championship,Right Defensive Midfielder,Defensive Midfield,29.45,54,94,0.0035780633,60,3.7160223,96,64,99,33,39
Jordan Houghton,27,Plymouth Argyle,Championship,Centre Defensive Midfielder,Defensive Midfield,27.6,17,22,0.06267502,51,2.9500139,11,28,33,8,47
Francisco Sierralta Carvallo,26,Watford,Championship,Centre Defensive Midfielder,Defensive Midfield,27.01,6,43,0.09341935,42,1.9162866,6,17,24,47,78
Ryan Ledson,26,Preston North End,Championship,Left Defensive Midfielder,Defensive Midfield,26.0,1,31,0.06899963,21,1.668754,25,14,15,40,72
Jake Livermore,33,Watford,Championship,Centre Defensive Midfielder,Defensive Midfield,25.77,61,15,0.023683777,15,2.7436411,61,18,70,60,61
Brahima Diarra,20,Huddersfield Town,Championship,Centre Attacking Midfielder,Defensive Midfield,24.74,60,62,0.02809913,18,3.1043928,100,35,81,49,14
Adam Randell,23,Plymouth Argyle,Championship,Right Centre Midfielder,Defensive Midfield,24.4,64,68,0.056335915,72,2.5468266,43,12,20,11,22
Jay Fulton,29,Swansea City,Championship,Right Defensive Midfielder,Defensive Midfield,24.36,74,84,0.12548406,46,2.6104822,15,1,22,38,86
Tyler Morton,21,Hull City,Championship,Right Defensive Midfielder,Defensive Midfield,20.53,75,19,0.06636438,24,3.8638303,83,58,6,21,19
Jamie Allen,28,Coventry City,Championship,Centre Attacking Midfielder,Defensive Midfield,20.51,76,8,-0.0012781197,78,3.7475603,35,21,6,1,43
Regan Slater,24,Hull City,Championship,Right Defensive Midfielder,Defensive Midfield,19.12,58,32,-0.00912612,3,4.2563252,85,67,58,31,53
Ryan Wintle,26,Cardiff City,Championship,Right Centre Midfielder,Defensive Midfield,18.77,56,88,0.04168016,29,1.9415958,38,19,55,3,21
Sam Clucas,33,Rotherham United,Championship,Left Centre Midfielder,Defensive Midfield,18.54,86,58,0.081484854,32,1.6562724,68,11,81,17,1
Jayson Molumby,24,West Bromwich Albion,Championship,Right Defensive Midfielder,Defensive Midfield,12.97,92,35,0.04186658,8,3.0638297,17,8,31,25,6
Jeff Hendrick,31,Sheffield Wednesday,Championship,Right Defensive Midfielder,Defensive Midfield,6.5,39,17,-0.0054804413,7,1.1676939,50,4,44,10,4
